#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tig00000001	1	2763567	27743908	2673285	96.7331	808.208	37.2	59.2
tig00000002	1	216001	433435	212942	98.5838	195.83	37.3	50.6
tig00000003	1	28874	81726	28528	98.8017	273.865	37.6	58.3
tig00000004	1	14735	5400	12785	86.7662	35.8563	37.4	17.7
tig00000005	1	40014	570216	39560	98.8654	1389.47	37.6	50.7
tig00000006	1	15016	9460	14508	96.6169	61.7459	37.4	4.26
tig00000007	1	16045	57709	15505	96.6345	352.182	37.9	28.8
tig00000008	1	24837	11861	24067	96.8998	46.5813	37.6	24.6
tig00000009	1	16484	25149	15871	96.2812	141.161	37.2	10.2
